Project URL,SHA Detected,Subproject Name,Fully-Qualified Test Name (packageName.ClassName.methodName)
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite,io.micronaut.docs.jsonpatch.JsonMergePatchTest.acceptMergePatchJsonContentType(HttpClient)
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite,io.micronaut.docs.jsonpatch.JsonPatchTest.testJsonPatch(HttpClient)
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-client-tck-jdk,io.micronaut.http.client.tck.tests.CookieTest.getCookiesFromRequest(boolean)[1]
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-client-tck-jdk,io.micronaut.http.client.tck.tests.CookieTest.getCookiesFromRequest(boolean)[2]
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-client-tck-jdk,io.micronaut.http.client.tck.tests.HttpMethodDeleteTest.deleteMethodMappingWithObjectResponse(boolean)[1]
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-client-tck-jdk,io.micronaut.http.client.tck.tests.HttpMethodDeleteTest.deleteMethodMappingWithObjectResponse(boolean)[2]
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-client-tck-netty,io.micronaut.http.client.tck.tests.CookieTest.getCookiesFromRequest(boolean)[1]
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-client-tck-netty,io.micronaut.http.client.tck.tests.CookieTest.getCookiesFromRequest(boolean)[2]
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-client-tck-netty,io.micronaut.http.client.tck.tests.HttpMethodDeleteTest.deleteMethodMappingWithObjectResponse(boolean)[1]
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-client-tck-netty,io.micronaut.http.client.tck.tests.HttpMethodDeleteTest.deleteMethodMappingWithObjectResponse(boolean)[2]
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-server-tck-jdk,io.micronaut.http.server.tck.tests.CookiesTest.testGetCookiesMethod()
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-server-tck-jdk,io.micronaut.http.server.tck.tests.BodyTest.testCustomListBodyPOJOReactiveTypes()
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-server-tck-jdk,io.micronaut.http.server.tck.tests.BodyTest.testRequestBodyJsonNoBodyAnnotation()
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-server-tck-jdk,io.micronaut.http.server.tck.tests.BodyTest.testCustomBodyPOJO()
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-server-tck-jdk,io.micronaut.http.server.tck.tests.BodyTest.testRequestBodyFormDataNoBodyAnnotation()
https://github.com/micronaut-projects/micronaut-core,6a1c54d74a741ffe873df5a21cb8f8b535ab8583,test-suite-http-server-tck-jdk,io.micronaut.http.server.tck.tests.forms.FormsSubmissionsWithListsTest.formWithListOfOneItem()
