project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (minutes)
naver/spring-jdbc-plus:spring-data-plus-sql-gen,T,7.6,error,,,,,5
naver/spring-jdbc-plus:spring-jdbc-plus-support,T,7.6,error,,,,,5
nebula-plugins/nebula-release-plugin,T,8.6,error,182,182,0,0,4
Netflix/gradle-template,F,6.4,N/A,,,,,0
Netflix/inviso,F,1.12,N/A,,,,,0
Netflix/photon,error with test,7.6,error,,,,,1
Netflix/ReactiveLab,F,1.11,N/A,,,,,0
Netflix/s3mper,F,2.2.1,N/A,,,,,0
Netflix-Skunkworks/hystrix-dashboard,F,4.0,N/A,,,,,0
Netflix/zeno,F,2.2.1,N/A,,,,,0
neueda/jetbrains-plugin-graph-database-support,F,6.2,N/A,,,,,0
neuhalje/bouncy-gpg,F,6.5.1,N/A,,,,,0
nickrussler/email-to-pdf-converter,F,6.6.1,N/A,,,,,0
nulab/zxcvbn4j,T,8.3,0,773,773,0,0,37
nviennot/jd-core-java,F,1.11,N/A,,,,,0
opendistro-for-elasticsearch/alerting,F,6.6.1,N/A,,,,,0
opendistro-for-elasticsearch/k-NN,F,6.6.1,N/A,,,,,0
openjdk/jextract,F,7.3.3,N/A,,,,,0
P3GLEG/PwnBack,F,,N/A,,,,,0
palantir/gradle-baseline:baseline-error-prone,T,7.5.1,error,,,,,33
palantir/gradle-baseline:baseline-null-away,T,7.5.1,error,,,,,33
palantir/gradle-baseline:gradle-baseline-java,T,7.5.1,error,,,,,33
palantir/gradle-baseline:gradle-baseline-java-config,T,7.5.1,error,,,,,33
palantir/gradle-baseline:gradle-junit-reports,T,7.5.1,error,,,,,33
palantir/gradle-graal,T,7.6.2,error,,,,,4
paulschwarz/spring-dotenv,F,8.0,N/A,,,,,0
android/android-studio-poet:aspoet,T,7.2,0,112,108,4,0,10
android/android-studio-poet:aspoet-input,T,7.2,no test,,,,,10
